1712934934 21 21007 11 15 1 0 0 1 40 128 
1712934934 21 21014 11 15 2 0 0 1 28 121 
1712934934 169 169007 14 13 1 0 0 1 2 89 
1712934934 169 169014 14 13 2 0 0 1 7 86 
1712934934 239 239014 14 17 2 0 0 1 49 93 
1712934934 300 300000 10 12 0 0 0 1 2 82 
1712934934 300 300007 10 12 1 0 0 1 37 166 
1712934934 300 300014 10 12 2 0 0 1 12 159 
1712934934 324 324000 14 12 0 0 0 2 29 8 30 175 
1712934934 324 324007 14 12 1 0 0 1 0 47 
1712934934 364 364000 14 16 0 0 0 2 4 89 5 25 
1712934934 446 446000 11 14 0 0 0 1 27 90 
1712934934 446 446007 11 14 1 0 0 1 16 72 
1712934934 446 446014 11 14 2 0 0 1 26 125 
1712934934 464 464014 14 14 2 0 0 2 57 68 58 55 
1712934934 778 778007 13 16 1 0 0 1 62 108 
1712934934 807 807000 12 15 0 0 0 1 26 83 
1712934934 807 807007 12 15 1 0 0 1 22 113 
1712934934 807 807014 12 15 2 0 0 1 26 98 
1712934934 965 965014 10 17 2 0 0 2 0 58 1 61 
1712934934 1282 1282000 12 16 0 0 0 1 51 106 
1712934934 1352 1352000 12 14 0 0 0 1 37 95 
1712934934 1594 1594000 14 16 0 0 0 2 9 68 10 34 
1712934934 1594 1594007 14 16 1 0 0 1 50 106 
1712934934 1594 1594014 14 16 2 0 0 1 1 91 
1712934934 1606 1606014 11 16 2 0 0 2 20 39 21 169 
1712934934 1642 1642000 12 16 0 0 0 1 60 87 
1712934934 1642 1642007 12 16 1 0 0 1 6 103 
1712934934 1642 1642014 12 16 2 0 0 2 47 86 48 4 
1712934934 1886 1886007 11 14 1 0 0 2 19 74 20 34 
1712934934 1886 1886014 11 14 2 0 0 1 13 127 
1712934934 2018 2018000 13 14 0 0 0 1 59 115 
1712934934 2074 2074000 14 16 0 0 0 1 42 187 
1712934934 2074 2074007 14 16 1 0 0 1 2 93 
1712934934 2168 2168000 13 14 0 0 0 1 8 91 
1712934934 2168 2168007 13 14 1 0 0 1 40 78 
1712934934 2168 2168014 13 14 2 0 0 1 6 106 
1712934934 2199 2199000 14 15 0 0 0 2 1 54 2 53 
1712934934 2199 2199007 14 15 1 0 0 2 9 2 10 93 
1712934934 2199 2199014 14 15 2 0 0 1 41 100 
1712934934 2243 2243007 13 17 1 0 0 1 47 104 
1712934934 2243 2243014 13 17 2 0 0 1 32 117 
1712934934 2275 2275007 10 13 1 0 0 1 50 29 
1712934934 2275 2275014 10 13 2 0 0 1 7 185 
1712934934 2412 2412014 12 12 2 0 0 1 8 69 
1712934934 2418 2418007 13 12 1 0 0 1 59 105 
1712934934 2512 2512000 12 16 0 0 0 1 47 86 
1712934934 2512 2512007 12 16 1 0 0 1 57 95 
1712934934 2597 2597014 12 17 2 0 0 1 53 93 
1712934934 2698 2698007 13 16 1 0 0 1 54 75 
1712934934 2698 2698014 13 16 2 0 0 1 43 104 
1712934934 2893 2893007 13 13 1 0 0 2 11 108 12 31 
1712934934 2899 2899007 14 13 1 0 0 1 46 78 
1712934934 2899 2899014 14 13 2 0 0 1 49 118 
1712934934 2925 2925000 10 15 0 0 0 2 47 3 48 87 
1712934934 2925 2925007 10 15 1 0 0 1 20 116 
1712934934 2925 2925014 10 15 2 0 0 2 29 249 30 21 
1712934934 3110 3110014 10 14 2 0 0 2 44 36 45 94 
1712934934 3135 3135014 10 15 2 0 0 1 54 92 
1712934934 3151 3151000 11 13 0 0 0 1 10 84 
1712934934 3151 3151007 11 13 1 0 0 1 23 83 
1712934934 3151 3151014 11 13 2 0 0 1 14 136 
1712934934 3327 3327000 12 15 0 0 0 1 9 112 
1712934934 3327 3327007 12 15 1 0 0 1 31 95 
1712934934 3333 3333000 13 15 0 0 0 1 8 78 
1712934934 3333 3333007 13 15 1 0 0 2 8 51 9 30 
1712934934 3425 3425000 10 17 0 0 0 2 30 34 31 10 
1712934934 3425 3425007 10 17 1 0 0 1 50 95 
1712934934 3425 3425014 10 17 2 0 0 1 38 84 
1712934934 3699 3699007 14 15 1 0 0 1 0 98 
1712934934 3767 3767000 12 17 0 0 0 1 7 94 
1712934934 3767 3767007 12 17 1 0 0 1 8 88 
1712934934 3767 3767014 12 17 2 0 0 2 35 20 36 122 
1712934934 3840 3840000 10 12 0 0 0 1 4 105 
1712934934 3840 3840007 10 12 1 0 0 2 13 39 14 71 
1712934934 3914 3914014 14 14 2 0 0 1 13 124 
1712934934 3924 3924000 14 12 0 0 0 1 38 110 
1712934934 3924 3924007 14 12 1 0 0 2 55 46 56 62 
1712934934 3998 3998014 13 14 2 0 0 2 44 18 45 139 
1712934934 4129 4129007 14 13 1 0 0 1 57 18 
1712934934 4145 4145000 10 17 0 0 0 1 59 102 
1712934934 4148 4148000 13 14 0 0 0 2 43 89 44 20 
1712934934 4148 4148007 13 14 1 0 0 1 24 114 
1712934934 4148 4148014 13 14 2 0 0 2 6 27 7 98 
1712934934 4179 4179014 14 15 2 0 0 1 48 222 
1712934934 4289 4289000 14 17 0 0 0 1 33 118 
1712934934 4365 4365000 10 15 0 0 0 2 24 27 25 89 
1712934934 4365 4365007 10 15 1 0 0 2 40 2 41 105 
1712934934 4381 4381000 11 13 0 0 0 2 4 3 5 86 
1712934934 4381 4381007 11 13 1 0 0 1 21 116 
1712934934 4381 4381014 11 13 2 0 0 2 38 82 39 5 
1712934934 4439 4439000 14 17 0 0 0 2 55 69 56 12 
1712934934 4492 4492007 12 16 1 0 0 1 4 140 
1712934934 4492 4492014 12 16 2 0 0 2 31 4 32 137 
1712934934 4589 4589007 14 17 1 0 0 2 53 76 54 20 
1712934934 4589 4589014 14 17 2 0 0 1 19 101 
1712934934 4706 4706014 11 14 2 0 0 1 47 154 
1712934934 4816 4816007 11 16 1 0 0 1 21 106 
1712934934 4816 4816014 11 16 2 0 0 1 20 90 
1712934934 4829 4829014 14 17 2 0 0 2 58 89 59 30 
1712934934 4856 4856000 11 14 0 0 0 2 22 56 23 42 
1712934934 4856 4856007 11 14 1 0 0 2 30 23 31 94 
1712934934 4856 4856014 11 14 2 0 0 1 63 85 
1712934934 4903 4903000 13 13 0 0 0 1 4 121 
1712934934 4903 4903007 13 13 1 0 0 2 30 109 31 7 
1712934934 4903 4903014 13 13 2 0 0 1 11 122 
1712934934 5001 5001000 11 15 0 0 0 1 12 98 
1712934934 5001 5001007 11 15 1 0 0 1 44 88 
1712934934 5035 5035007 10 13 1 0 0 2 12 64 13 42 
1712934934 5035 5035014 10 13 2 0 0 1 22 115 
1712934934 5208 5208014 13 12 2 0 0 1 57 139 
1712934934 5271 5271014 11 15 2 0 0 2 13 36 14 89 
1712934934 5416 5416007 11 16 1 0 0 1 63 104 
1712934934 5472 5472000 12 12 0 0 0 1 2 112 
1712934934 5472 5472007 12 12 1 0 0 1 25 82 
1712934934 5472 5472014 12 12 2 0 0 1 4 128 
1712934934 5644 5644007 14 16 1 0 0 2 33 15 34 84 
1712934934 5644 5644014 14 16 2 0 0 2 38 67 39 51 
1712934934 5669 5669014 14 17 2 0 0 2 10 22 11 102 
1712934934 5710 5710000 10 16 0 0 0 1 37 134 
1712934934 5710 5710007 10 16 1 0 0 2 21 180 22 131 
1712934934 5715 5715000 10 15 0 0 0 1 35 85 
1712934934 5715 5715007 10 15 1 0 0 1 6 94 
1712934934 5715 5715014 10 15 2 0 0 2 30 35 31 39 
1712934934 5742 5742014 12 12 2 0 0 1 26 87 
1712934934 5826 5826000 11 12 0 0 0 1 61 89 
1712934934 5844 5844007 14 12 1 0 0 1 60 96 
1712934934 5844 5844014 14 12 2 0 0 1 23 96 
1712934934 5921 5921000 11 17 0 0 0 1 39 97 
1712934934 5921 5921007 11 17 1 0 0 1 35 78 
1712934934 5921 5921014 11 17 2 0 0 1 35 184 
1712934934 6050 6050000 10 14 0 0 0 2 10 52 11 45 
1712934934 6050 6050007 10 14 1 0 0 1 8 108 
1712934934 6087 6087000 12 15 0 0 0 1 11 99 
1712934934 6087 6087007 12 15 1 0 0 1 15 88 
1712934934 6087 6087014 12 15 2 0 0 1 2 99 
1712934934 6104 6104007 14 14 1 0 0 2 55 86 56 40 
1712934934 6104 6104014 14 14 2 0 0 2 25 7 26 102 
1712934934 6154 6154000 14 16 0 0 0 2 23 71 24 52 
1712934934 6154 6154007 14 16 1 0 0 1 20 133 
1712934934 6192 6192000 12 12 0 0 0 1 61 125 
